post_id,thread_id,order,true_primary,true_secondary,pred_primary,pred_secondary
cad_949,3,"03, 02",Neutral,"""NA""",Neutral,NA
cad_950,3,"03, 03",Neutral,"""NA""",Neutral,NA
cad_951,3,"03, 04",Neutral,"""NA""",Neutral,NA
cad_952,3,"03, 05",Neutral,"""NA""",Neutral,NA
cad_956,3,"03, 08",Neutral,"""NA""",Neutral,NA
cad_957,3,"03, 09",Neutral,"""NA""",Neutral,NA
cad_20689,3,"03, 01",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_20692,3,"03, 06",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,PersonDirectedAbuse,NA
cad_20693,3,"03, 07",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_955,3,"03, 04, 01",Neutral,"""NA""",Neutral,NA
cad_26076,3,03-title,Neutral,"""NA""",Neutral,NA
cad_2,3,03-post,Neutral,"""NA""",Neutral,NA
cad_1260,33,"33, 01",Neutral,"""NA""",Neutral,NA
cad_1267,33,"33, 03",Neutral,"""NA""",Neutral,NA
cad_1268,33,"33, 04",Neutral,"""NA""",Neutral,NA
cad_1276,33,"33, 05",Neutral,"""NA""",Neutral,NA
cad_1282,33,"33, 06",Neutral,"""NA""",Neutral,NA
cad_1310,33,"33, 07",Neutral,"""NA""",Neutral,NA
cad_1331,33,"33, 08",Neutral,"""NA""",Neutral,NA
cad_1374,33,"33, 09",Neutral,"""NA""",Neutral,NA
cad_2361,33,"33, 10",Neutral,"""NA""",Neutral,NA
cad_20819,33,"33, 02",Neutral,"""NA""",Neutral,NA
cad_1364,33,"33, 05, 01",Neutral,"""NA""",Neutral,NA
cad_26097,33,33-title,Neutral,"""NA""",Neutral,NA
cad_17,33,33-post,Neutral,"""NA""",Neutral,NA
cad_1699,55,"55, 01",Neutral,"""NA""",Neutral,NA
cad_1704,55,"55, 02",Neutral,"""NA""",Neutral,NA
cad_1710,55,"55, 03",Neutral,"""NA""",Neutral,NA
cad_1705,55,"55, 02, 01",Neutral,"""NA""",Neutral,NA
cad_26116,55,55-title,Neutral,"""NA""",Neutral,NA
cad_31,55,55-post,Neutral,"""NA""",Neutral,NA
cad_1953,78,"78, 02",Neutral,"""NA""",Neutral,NA
cad_1985,78,"78, 03",Neutral,"""NA""",AffiliationDirectedAbuse,NA
cad_1960,78,"78, 02, 01",Neutral,"""NA""",Neutral,NA
cad_26135,78,78-title,Neutral,"""NA""",Neutral,NA
cad_45,78,78-post,Neutral,"""NA""",Neutral,NA
cad_26160,109,109-title,Neutral,"""NA""",Neutral,NA
cad_65,109,109-post,Neutral,"""NA""",Neutral,NA
cad_2504,123,"123, 01",Neutral,"""NA""",Neutral,NA
cad_2611,123,"123, 02",Neutral,"""NA""",Neutral,NA
cad_2519,123,"123, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26172,123,123-title,Neutral,"""NA""",Neutral,NA
cad_78,123,123-post,Neutral,"""NA""",Neutral,NA
cad_2689,146,"146, 01",Neutral,"""NA""",Neutral,NA
cad_26193,146,146-title,Neutral,"""NA""",Neutral,NA
cad_97,146,146-post,Neutral,"""NA""",Neutral,NA
cad_21191,167,"167, 02",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,PersonDirectedAbuse,NA
cad_21539,167,"167, 03",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_26213,167,167-title,Neutral,"""NA""",Neutral,NA
cad_112,167,167-post,Neutral,"""NA""",Neutral,NA
cad_2849,171,"171, 01",Neutral,"""NA""",Neutral,NA
cad_2850,171,"171, 02",Neutral,"""NA""",Neutral,NA
cad_2852,171,"171, 03",Neutral,"""NA""",Neutral,NA
cad_2904,171,"171, 05",Neutral,"""NA""",Neutral,NA
cad_2871,171,"171, 04",Neutral,"""NA""",Neutral,NA
cad_3040,171,"171, 06",Neutral,"""NA""",Neutral,NA
cad_2875,171,"171, 03, 01",Neutral,"""NA""",Neutral,NA
cad_2888,171,"171, 01, 02",Neutral,"""NA""",Neutral,NA
cad_2884,171,"171, 01, 01",Neutral,"""NA""",Neutral,NA
cad_2877,171,"171, 02, 04",Neutral,"""NA""",Neutral,NA
cad_2940,171,"171, 01, 04",Neutral,"""NA""",Neutral,NA
cad_2862,171,"171, 02, 03",Neutral,"""NA""",Neutral,NA
cad_2858,171,"171, 02, 02",Neutral,"""NA""",Neutral,NA
cad_2854,171,"171, 02, 01",Neutral,"""NA""",Neutral,NA
cad_2936,171,"171, 01, 03",Neutral,"""NA""",Neutral,NA
cad_2915,171,"171, 03, 01, 01",Neutral,"""NA""",Neutral,NA
cad_2873,171,"171, 02, 01, 01",Neutral,"""NA""",Neutral,NA
cad_2883,171,"171, 02, 01, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26217,171,171-title,Neutral,"""NA""",Neutral,NA
cad_116,171,171-post,Neutral,"""NA""",Neutral,NA
cad_4170,231,"231, 09",Neutral,"""NA""",Neutral,NA
cad_3636,231,"231, 01",Neutral,"""NA""",Neutral,NA
cad_3640,231,"231, 03",Neutral,"""NA""",Neutral,NA
cad_3649,231,"231, 05",Neutral,"""NA""",Neutral,NA
cad_3650,231,"231, 06",Neutral,"""NA""",Neutral,NA
cad_21378,231,"231, 02",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,IdentityDirectedAbuse,NA
cad_3772,231,"231, 08",Neutral,"""NA""",Neutral,NA
cad_21386,231,"231, 04",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,Neutral,NA
cad_21383,231,"231, 01, 02",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_21382,231,"231, 02, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / derogation,IdentityDirectedAbuse,NA
cad_4335,231,"231, 09, 01",Neutral,"""NA""",Neutral,NA
cad_4327,231,"231, 05, 01",Neutral,"""NA""",Neutral,NA
cad_4322,231,"231, 04, 01",Neutral,"""NA""",Neutral,NA
cad_21514,231,"231, 06, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_3651,231,"231, 03, 01",Neutral,"""NA""",Neutral,NA
cad_3637,231,"231, 01, 01",Neutral,"""NA""",Neutral,NA
cad_21513,231,"231, 07, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_3656,231,"231, 02, 01, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Slur,NA
cad_4325,231,"231, 03, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26272,231,231-title,Neutral,"""NA""",Neutral,NA
cad_152,231,231-post,Neutral,"""NA""",Neutral,NA
cad_3787,245,"245, 01",Neutral,"""NA""",Neutral,NA
cad_26285,245,245-title,Neutral,"""NA""",Neutral,NA
cad_164,245,245-post,Neutral,"""NA""",Neutral,NA
cad_4103,260,"260, 02",Neutral,"""NA""",Neutral,NA
cad_21464,260,"260, 03",AffiliationDirectedAbuse,AffiliationDirectedAbuse / animosity,AffiliationDirectedAbuse,NA
cad_4105,260,"260, 02, 01",Neutral,"""NA""",Neutral,NA
cad_26300,260,260-title,Neutral,"""NA""",Neutral,NA
cad_174,260,260-post,Neutral,"""NA""",Neutral,NA
cad_26330,294,294-title,Neutral,"""NA""",Neutral,NA
cad_203,294,294-post,Neutral,"""NA""",Neutral,NA
cad_4853,305,"305, 06",Neutral,"""NA""",Neutral,NA
cad_4933,305,"305, 09",Neutral,"""NA""",Neutral,NA
cad_4882,305,"305, 08",Neutral,"""NA""",Neutral,NA
cad_4854,305,"305, 07",Neutral,"""NA""",Neutral,NA
cad_4975,305,"305, 10",Neutral,"""NA""",Neutral,NA
cad_4808,305,"305, 04",Neutral,"""NA""",Neutral,NA
cad_4829,305,"305, 05",Neutral,"""NA""",Neutral,NA
cad_4786,305,"305, 03",Neutral,"""NA""",Neutral,NA
cad_4757,305,"305, 02",Neutral,"""NA""",Neutral,NA
cad_4754,305,"305, 01",Neutral,"""NA""",Neutral,NA
cad_4957,305,"305, 02, 01",Neutral,"""NA""",Neutral,NA
cad_4770,305,"305, 01, 02",Neutral,"""NA""",Neutral,NA
cad_4769,305,"305, 01, 01",Neutral,"""NA""",Neutral,NA
cad_4944,305,"305, 09, 01",Neutral,"""NA""",Neutral,NA
cad_4800,305,"305, 03, 01",Neutral,"""NA""",Neutral,NA
cad_4827,305,"305, 01, 01, 01",Neutral,"""NA""",Neutral,NA
cad_4939,305,"305, 01, 02, 01",Neutral,"""NA""",Neutral,NA
cad_4952,305,"305, 03, 01, 01",Neutral,"""NA""",Neutral,NA
cad_4966,305,"305, 02, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26339,305,305-title,Neutral,"""NA""",Neutral,NA
cad_214,305,305-post,Neutral,"""NA""",Neutral,NA
cad_5134,334,"334, 02",Neutral,"""NA""",Neutral,NA
cad_5137,334,"334, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5138,334,"334, 02, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26363,334,334-title,Neutral,"""NA""",Neutral,NA
cad_237,334,334-post,Neutral,"""NA""",Neutral,NA
cad_5164,336,"336, 02",Neutral,"""NA""",Neutral,NA
cad_5166,336,"336, 03",Neutral,"""NA""",Neutral,NA
cad_5167,336,"336, 04",Neutral,"""NA""",Neutral,NA
cad_5168,336,"336, 05",Neutral,"""NA""",Neutral,NA
cad_5171,336,"336, 06",Neutral,"""NA""",Neutral,NA
cad_5172,336,"336, 07",Neutral,"""NA""",Neutral,NA
cad_5198,336,"336, 08",Neutral,"""NA""",Neutral,NA
cad_5169,336,"336, 05, 01",Neutral,"""NA""",Neutral,NA
cad_5170,336,"336, 05, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26365,336,336-title,Neutral,"""NA""",Neutral,NA
cad_238,336,336-post,Neutral,"""NA""",Neutral,NA
cad_26366,338,338-title,Neutral,"""NA""",Neutral,NA
cad_240,338,338-post,Neutral,"""NA""",Neutral,NA
cad_5315,354,"354, 02",Neutral,"""NA""",Neutral,NA
cad_5327,354,"354, 03",Neutral,"""NA""",Neutral,NA
cad_5341,354,"354, 04",Neutral,"""NA""",Neutral,NA
cad_21847,354,"354, 07",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_5355,354,"354, 05",Neutral,"""NA""",Neutral,NA
cad_5381,354,"354, 06",Neutral,"""NA""",Neutral,NA
cad_5353,354,"354, 04, 01",Neutral,"""NA""",Neutral,NA
cad_5316,354,"354, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5318,354,"354, 02, 02",Neutral,"""NA""",Neutral,NA
cad_5329,354,"354, 02, 03",Neutral,"""NA""",Neutral,NA
cad_5432,354,"354, 04, 03",Neutral,"""NA""",Neutral,NA
cad_5514,354,"354, 07, 01",Neutral,"""NA""",Neutral,NA
